i'm 19 .	j'ai 19 ans .
i'm concentrating .	je suis en train de me concentrer .
i'm concentrating .	je suis en cours de concentration .
i'm done thinking .	j'en ai marre de penser .
i'm extremely fat .	je suis extrêmement gras .
i'm feeling dizzy .	j'ai la tête qui tourne .
i'm feeling dizzy .	j'ai la tête qui me tourne .
i'm flabbergasted .	je suis sidéré .
i'm flabbergasted .	je suis abasourdi .
i'm freezing cold .	je crève de froid .
i'm from bulgaria .	je viens de bulgarie .
i'm from colombia .	je viens de colombie .
i'm irreplaceable .	je suis irremplaçable .
i'm just guessing .	je ne fais que supposer .
i'm leaving today .	je pars aujourd'hui .
i'm losing weight .	je perds du poids .
i'm losing weight .	je maigris .
i'm not available .	je ne suis pas disponible .
i'm not available .	je suis indisponible .
i'm not convinced .	je ne suis pas convaincu .
i'm not convinced .	je ne suis pas convaincue .
i'm not dangerous .	je ne suis pas dangereux .
i'm not desperate .	je ne suis pas désespéré .
i'm not desperate .	je ne suis pas désespérée .
i'm not impressed .	je ne suis pas impressionné .
i'm not impressed .	je ne suis pas impressionnée .
i'm not listening .	je n'écoute pas .
i'm not miserable .	je ne suis pas malheureux .
i'm not miserable .	je ne suis pas malheureuse .
i'm not panicking .	je ne me panique pas .
i'm not panicking .	je ne panique pas .
i'm not persuaded .	je ne suis pas convaincu .
i'm not persuaded .	je n'en suis pas persuadé .
i'm not persuaded .	je n'en suis pas persuadée .
i'm not satisfied .	je ne suis pas satisfait .
i'm not satisfied .	je ne suis pas satisfaite .
i'm not surprised .	je ne suis pas surpris .
i'm not surprised .	je ne suis pas surprise .
i'm over eighteen .	j'ai plus de dix-huit ans .
i'm quite serious .	je suis très sérieux .
i'm quite serious .	je suis très sérieuse .
i'm really hungry .	j'ai vraiment faim .
i'm really sleepy .	j'ai vraiment sommeil .
i'm right outside .	je suis juste à l'extérieur .
i'm so overworked .	je suis tellement débordé .
i'm still dubious .	je suis encore sceptique .
i'm still married .	je suis toujours marié .
i'm still married .	je suis toujours mariée .
i'm still married .	je suis encore marié .
i'm still married .	je suis encore mariée .
i'm still thirsty .	j'ai toujours soif .
i'm still thirsty .	j'ai encore soif .
i'm still waiting .	j'attends encore .
i'm strong enough .	je suis suffisamment fort .
i'm strong enough .	je suis suffisamment forte .
i'm strong enough .	je suis assez fort .
i'm strong enough .	je suis assez forte .
i'm totally drunk .	je suis complètement saoul .
i'm uncomfortable .	je suis gêné .
i'm your neighbor .	je suis votre voisin .
she is aggressive .	elle est agressive .
she is attractive .	elle est attirante .
she is thirty-one .	elle a 31 ans .
she is unsociable .	elle est asociale .
she isn't married .	elle n'est pas mariée .
she isn't running .	elle ne court pas .
she sells flowers .	elle vend des fleurs .
she speaks loudly .	elle parle à haute voix .
she speaks loudly .	elle parle tout haut .
they are watching .	ils regardent .
they aren't alone .	ils ne sont pas seuls .
they aren't alone .	elles ne sont pas seules .
they released tom .	ils ont relâché tom .
they released tom .	elles ont relâché tom .
they're all alike .	ils sont tous semblables .
they're all alike .	elles sont toutes semblables .
they're all liars .	ce sont tous des menteurs .
they're all liars .	ce sont toutes des menteuses .
they're all lying .	elles mentent toutes .
they're all lying .	ils mentent tous .
they're cannibals .	ce sont des cannibales .
they're dangerous .	ils sont dangereux .
they're dangerous .	elles sont dangereuses .
they're different .	ils sont différents .
they're different .	elles sont différentes .
they're expensive .	ils sont onéreux .
they're expensive .	elles sont onéreuses .
they're in danger .	ils sont en danger .
they're in danger .	elles sont en danger .
they're nice guys .	ce sont de chics types .
they're not alone .	ils ne sont pas seuls .
they're not alone .	elles ne sont pas seules .
they're not happy .	ils ne sont pas satisfaits .
they're not happy .	elles ne sont pas satisfaites .
they're surprised .	ils sont surpris .
they're surprised .	elles sont surprises .
they're undamaged .	ils sont intacts .
they're undamaged .	elles sont intactes .
they're very busy .	ils sont très occupés .
they're very busy .	elles sont très occupées .
we are australian .	nous sommes australiens .
we are australian .	nous sommes australiennes .
we are classmates .	nous sommes camarades de classe .
we aren't married .	nous ne sommes pas mariés .
we aren't married .	nous ne sommes pas mariées .
we aren't related .	nous ne sommes pas apparentés .
we aren't related .	nous ne sommes pas apparentées .
we're about ready .	nous sommes pour ainsi dire prêts .
we're about ready .	nous sommes pour ainsi dire prêtes .
we're all cowards .	nous sommes tous des lâches .
we're all cowards .	nous sommes toutes des lâches .
we're all friends .	nous sommes tous amis .
we're all retired .	nous sommes tous retraités .
we're all retired .	nous sommes toutes retraitées .
we're all retired .	nous sommes tous à la pension .
we're all retired .	nous sommes toutes à la pension .
we're both insane .	nous sommes tous deux fous .
we're both insane .	nous sommes toutes deux folles .
we're both single .	nous sommes tous deux célibataires .
we're celebrating .	nous fêtons ça .
we're changing it .	nous sommes en train de le changer .
we're cooperating .	nous coopérons .
we're defenseless .	nous sommes sans défenses .
we're doing great .	nous nous en sortons très bien .
we're experienced .	nous avons de l'expérience .
we're experienced .	nous disposons d'expérience .
we're friends now .	nous sommes désormais amis .
we're friends now .	nous sommes désormais amies .
we're going north .	nous nous dirigeons vers le nord .
we're going north .	nous nous dirigeons au nord .
we're going south .	nous nous dirigeons vers le sud .
we're going south .	nous nous dirigeons au sud .
we're handling it .	nous sommes en train de nous en occuper .
we're handling it .	nous sommes en train de nous en charger .
we're interfering .	nous dérangeons .
we're journalists .	nous sommes journalistes .
we're just scared .	nous avons juste peur .
we're leaving now .	nous partons maintenant .
we're like family .	nous formons en quelque sorte une famille .
we're married now .	nous sommes désormais mariés .
we're married now .	nous sommes désormais mariées .
we're not arguing .	nous ne sommes pas en train de nous disputer .
we're not cowards .	nous ne sommes pas des lâches .
we're not dressed .	nous ne sommes pas habillés .
we're not dressed .	nous ne sommes pas habillées .
we're not friends .	nous ne sommes pas amis .
we're not invited .	nous ne sommes pas invités .
we're not invited .	nous ne sommes pas invitées .
we're not kidding .	nous ne plaisantons pas .
we're not killers .	nous ne sommes pas des tueurs .
we're not killers .	nous ne sommes pas des tueuses .
we're not leaving .	nous ne partons pas .
we're not looking .	nous sommes pas en train de regarder .
we're not married .	nous ne sommes pas mariés .
we're not married .	nous ne sommes pas mariées .
we're not perfect .	nous ne sommes pas parfaits .
we're not perfect .	nous ne sommes pas parfaites .
we're not related .	nous ne sommes pas apparentés .
we're not related .	nous ne sommes pas apparentées .
we're not serious .	nous ne sommes pas sérieux .
we're not serious .	nous ne sommes pas sérieuses .
we're not smiling .	nous ne sommes pas en train de sourire .
we're not staying .	nous ne restons pas .
we're not welcome .	nous ne sommes pas les bienvenus .
we're not welcome .	nous ne sommes pas les bienvenues .
we're old friends .	nous sommes de vieux amis .
we're old friends .	nous sommes vieux amis .
we're on schedule .	on est dans les clous .
we're on schedule .	nous sommes dans les temps .
we're persevering .	nous persévérons .
we're pulling out .	nous nous retirons .
we're quite alone .	nous sommes tout à fait seuls .
we're quite alone .	nous sommes assez seuls .
we're quite alone .	nous sommes tout à fait seules .
we're quite alone .	nous sommes assez seules .
we're quite drunk .	on est pas mal bourrés .
we're quite tired .	nous sommes assez fatigués .
we're really good .	nous sommes vraiment bons .
we're really good .	nous sommes vraiment bonnes .
we're really late .	nous sommes très en retard .
we're resourceful .	nous sommes pleins de ressources .
we're still alive .	nous sommes toujours en vie .
we're taking over .	nous prenons le contrôle .
we're taking over .	nous prenons l'ascendant .
we're taking over .	nous rejouons .
we're the problem .	nous sommes le problème .
we're trustworthy .	nous sommes dignes de confiance .
you are actresses .	vous êtes des actrices .
you are beautiful .	tu es beau .
you are beautiful .	tu es belle .
you are beautiful .	vous êtes beau .
you are beautiful .	vous êtes belle .
you are beautiful .	vous êtes beaux .
you are beautiful .	vous êtes belles .
you are hilarious .	que vous êtes drôle .
you are hilarious .	vous me faites mourir de rire .
you are important .	tu es important .
you are important .	vous êtes important .
you are important .	vous êtes importants .
you are important .	vous êtes importantes .
you are important .	tu es importante .
you are important .	vous êtes importante .
you're a prisoner .	tu es un prisonnier .
you're a prisoner .	vous êtes un prisonnier .
you're aggressive .	tu es agressif .
you're aggressive .	tu es agressive .
you're all insane .	vous êtes tous malades .
you're all insane .	vous êtes toutes malades .
you're articulate .	tu t'exprimes bien .
you're articulate .	vous vous exprimez bien .
you're back again .	tu es à nouveau de retour .
you're back again .	vous êtes à nouveau de retour .
you're courageous .	tu es courageux .
you're courageous .	tu es courageuse .
you're disgusting .	tu es dégoûtant .
you're disgusting .	tu es dégoûtante .
you're disgusting .	vous êtes dégoûtant .
you're disgusting .	vous êtes dégoûtante .
you're disgusting .	vous êtes dégoûtants .
you're disgusting .	vous êtes dégoûtantes .
you're half right .	vous avez à moitié raison .
you're half right .	tu as à moitié raison .
you're here early .	tu es là tôt .
you're here early .	tu viens tôt .
you're hurting me .	tu me fais mal !
you're hurting me .	vous me faites mal !
you're incredible .	tu es incroyable .
you're incredible .	vous êtes incroyable .
you're incredible .	vous êtes incroyables .
you're just tired .	tu es juste fatigué .
you're killing me .	tu me tues .
you're killing me .	vous me tuez .
you're not normal .	vous n'êtes pas normal .
you're not normal .	vous n'êtes pas normale .
you're not normal .	vous n'êtes pas normaux .
you're not normal .	vous n'êtes pas normales .
you're not normal .	tu n'es pas normal .
you're not normal .	tu n'es pas normale .
you're overworked .	tu es surmené .
you're overworked .	tu es surmenée .
you're overworked .	vous êtes surmenée .
you're overworked .	vous êtes surmenées .
you're overworked .	vous êtes surmené .
you're overworked .	vous êtes surmenés .
you're productive .	tu es productif .
you're productive .	tu es productive .
you're productive .	vous êtes productif .
you're productive .	vous êtes productifs .
you're productive .	vous êtes productive .
you're productive .	vous êtes productives .
you're remarkable .	tu es remarquable .
you're scaring me .	tu me fais peur .
you're surrounded .	tu es cerné .
you're surrounded .	vous êtes cernés .
you're surrounded .	vous êtes cernées .
you're surrounded .	vous êtes cerné .
you're surrounded .	vous êtes cernée .
you're surrounded .	tu es cernée .
you're telling me .	c'est toi qui me le dis .
you're the leader .	vous êtes le chef .
you're the leader .	tu es le chef .
you're the leader .	tu es la chef .
you're the leader .	vous êtes la chef .
you're the leader .	c'est toi le chef .
you're the leader .	c'est toi la chef .
you're the leader .	c'est vous le chef .
you're the leader .	c'est vous la chef .
you're the master .	vous êtes le maître .
you're the master .	vous êtes la maîtresse .
you're the master .	tu es le maître .
you're the master .	tu es la maîtresse .
you're the master .	c'est toi le maître .
you're the master .	c'est toi la maîtresse .
you're the master .	c'est vous le maître .
you're the master .	c'est vous la maîtresse .
you're the oldest .	vous êtes le plus vieux .
you're the oldest .	vous êtes le doyen .
you're the oldest .	vous êtes la plus vieille .
you're the oldest .	vous êtes la doyenne .
you're the oldest .	tu es le doyen .
you're the oldest .	tu es la doyenne .
you're the oldest .	tu es la plus vieille .
you're the oldest .	tu es le plus vieux .
you're the oldest .	c'est toi le plus vieux .
you're the oldest .	c'est toi la plus vieille .
you're the oldest .	c'est vous la plus vieille .
you're the oldest .	c'est toi la doyenne .
you're the oldest .	c'est vous le plus vieux .
you're the oldest .	c'est toi le doyen .
you're the oldest .	c'est vous le doyen .
you're the oldest .	c'est vous la doyenne .
you're the oldest .	c'est vous l'aîné .
you're the oldest .	c'est toi l'aîné .
you're the oldest .	c'est vous l'aînée .
you're the oldest .	c'est toi l'aînée .
you're the oldest .	vous êtes l'aîné .
you're the oldest .	vous êtes l'aînée .
you're the oldest .	tu es l'aîné .
you're the oldest .	tu es l'aînée .
you're the owners .	vous êtes les propriétaires .
you're the owners .	c'est vous les propriétaires .
you're too polite .	tu es trop poli .
you're too polite .	tu es trop polie .
you're too polite .	vous êtes trop poli .
you're too polite .	vous êtes trop polie .
you're too polite .	vous êtes trop polis .
you're too polite .	vous êtes trop polies .
you're too skinny .	vous êtes trop maigrichon .
you're too skinny .	vous êtes trop maigre .
you're too skinny .	vous êtes trop maigrichonne .
you're too skinny .	vous êtes trop maigrichons .
you're too skinny .	vous êtes trop maigrichonnes .
you're too skinny .	vous êtes trop maigres .
you're too skinny .	tu es trop maigre .
you're too skinny .	tu es trop maigrichon .
you're too skinny .	tu es trop maigrichonne .
you're very angry .	vous êtes fort en colère .
you're very angry .	tu es fort en colère .
you're very angry .	vous êtes très en colère .
you're very angry .	tu es très en colère .
you're very brave .	tu es très courageux .
you're very brave .	tu es très brave .
you're very brave .	vous êtes très courageux .
you're very brave .	vous êtes très courageuse .
you're very brave .	vous êtes très courageuses .
you're very brave .	vous êtes fort brave .
you're very brave .	vous êtes très brave .
you're very brave .	vous êtes fort braves .
you're very brave .	vous êtes très braves .
you're very brave .	tu es fort brave .
you're very brave .	tu es fort courageux .
you're very brave .	tu es très courageuse .
you're very brave .	tu es fort courageuse .
you're very brave .	vous êtes fort courageux .
you're very brave .	vous êtes fort courageuse .
you're very brave .	vous êtes fort courageuses .
you're very funny .	tu es très drôle .
you're very funny .	tu es fort drôle .
you're very funny .	vous êtes très drôle .
you're very funny .	vous êtes très drôles .
you're very funny .	vous êtes fort drôle .
you're very funny .	vous êtes fort drôles .
you're very funny .	vous êtes très marrant .
you're very funny .	vous êtes très marrante .
you're very funny .	vous êtes très marrants .
you're very funny .	vous êtes très marrantes .
you're very funny .	tu es très marrant .
you're very funny .	tu es très marrante .
you're very sharp .	tu es très vif .
you're very sharp .	tu es très vive .
you're very sharp .	vous êtes très vif .
you're very sharp .	vous êtes très vifs .
you're very sharp .	vous êtes très vive .
you're very sharp .	vous êtes très vives .
you're very smart .	tu es très intelligent .
you're very smart .	tu es très intelligente .
you're very smart .	vous êtes très sages .
you're very timid .	tu es très timide .
you're very timid .	tu es fort timide .
you're very timid .	vous êtes très timide .
you're very timid .	vous êtes très timides .
you're very timid .	vous êtes fort timide .
you're very timid .	vous êtes fort timides .
you're very timid .	vous êtes fort craintif .
you're very timid .	vous êtes fort craintive .
you're very timid .	vous êtes fort craintifs .
you're very timid .	vous êtes fort craintives .
you're very timid .	vous êtes très craintive .
you're very timid .	vous êtes très craintif .
you're very timid .	vous êtes très craintives .
you're very timid .	vous êtes très craintifs .
you're very timid .	tu es fort craintif .
you're very timid .	tu es fort craintive .
you're very timid .	tu es très craintif .
you're very timid .	tu es très craintive .
you're very timid .	tu es très peureux .
you're very timid .	tu es très peureuse .
you're very timid .	vous êtes très peureux .
you're very timid .	vous êtes très peureuse .
you're very timid .	vous êtes très peureuses .
you're very upset .	tu es très contrarié .
you're very upset .	tu es très contrariée .
you're very upset .	tu es fort contrarié .
you're very upset .	tu es fort contrariée .
you're very upset .	vous êtes très contrarié .
you're very upset .	vous êtes très contrariée .
you're very upset .	vous êtes très contrariés .
you're very upset .	vous êtes très contrariées .
you're very upset .	vous êtes fort contrarié .
you're very upset .	vous êtes fort contrariée .
you're very upset .	vous êtes fort contrariés .
you're very upset .	vous êtes fort contrariées .
he is sharp-witted .	il a l'esprit vif .
he is thick-headed .	il est borné .
he started singing .	il s'est mis à chanter .
he stopped talking .	il s'est arrêté de parler .
he studies chinese .	il étudie le chinois .
i'm tom's neighbor .	je suis le voisin de tom .
i'm tom's neighbor .	je suis la voisine de tom .
i'm a photographer .	je suis photographe .
i'm always careful .	je suis toujours prudent .
i'm always careful .	je suis toujours prudente .
i'm always thirsty .	j'ai toujours soif .
i'm being harassed .	je me fais harceler .
i'm being promoted .	on m'a promu .
i'm being promoted .	on m'a promue .
i'm being promoted .	je suis promu .
i'm being promoted .	je suis promue .
i'm being punished .	je suis puni .
i'm being punished .	je suis punie .
i'm being sensible .	je fais preuve de bon sens .
i'm bleeding badly .	je saigne gravement .
i'm claustrophobic .	je suis claustrophobe .
i'm drinking water .	je bois de l'eau .
i'm feeling better .	je vais mieux .
i'm feeling hungry .	j'ai faim .
i'm from singapore .	je suis de singapour .
i'm gaining weight .	je prends du poids .
i'm getting better .	je me remets .
i'm getting hungry .	je commence à avoir faim .
i'm getting sleepy .	je commence à avoir sommeil .
i'm going downtown .	je vais en ville .
i'm going downtown .	je me rends en ville .
i'm just beginning .	je commence à peine .
i'm just beginning .	je ne fais que commencer .
i'm learning czech .	j'apprends le tchèque .
i'm learning music .	j'étudie la musique .
i'm not delusional .	je ne souffre pas de lubies .
i'm not invincible .	je ne suis pas invincible .
i'm not overweight .	je ne suis pas en surpoids .
i'm not photogenic .	je ne suis pas photogénique .
i'm really shocked .	je suis vraiment choqué .
i'm really shocked .	je suis vraiment choquée .
i'm seeing someone .	je vois quelqu'un .
i'm so embarrassed .	je suis tellement embarrassé .
i'm so embarrassed .	je suis tellement embarrassée .
i'm somewhat dizzy .	j'ai un peu la tête qui tourne .
i'm suddenly tired .	je suis soudainement fatigué .
i'm suddenly tired .	je suis tout à coup fatiguée .
i'm supporting you .	je vous soutiens .
i'm terribly sorry .	je suis terriblement désolé .
i'm unenthusiastic .	je suis sans enthousiasme .
i'm very fortunate .	j'ai beaucoup de chance .
i'm very fortunate .	j'ai la baraka .
i'm very impressed .	je suis fort impressionné .
i'm very impressed .	je suis très impressionnée .
i'm very impressed .	je suis fort impressionnée .
she is pigeon-toed .	elle a les pieds en dedans .
she is unconscious .	elle est inconsciente .
she seems friendly .	elle a l'air sympa .
she smiled happily .	elle sourit avec bonheur .
she speaks chinese .	elle parle chinois .
she started crying .	elle s'est mise à pleurer .
they are exhausted .	elles sont crevées .
they are exhausted .	ils sont exténués .
they are exhausted .	elles sont exténuées .
they're christians .	ils sont chrétiens .
they're all guilty .	ils sont tous coupables .
they're all guilty .	elles sont toutes coupables .
they're all hungry .	ils ont tous faim .
they're all hungry .	elles ont toutes faim .
they're all normal .	ils sont tous normaux .
they're all normal .	elles sont toutes normales .
they're both right .	ils ont tous les deux raison .
they're both right .	elles ont toutes les deux raison .
they're carnations .	ce sont des œillets .
they're disposable .	ils sont jetables .
they're disposable .	elles sont jetables .
they're downstairs .	ils sont en bas .
they're downstairs .	ils sont en-dessous .
they're downstairs .	ils sont au-dessous .
they're in trouble .	ils ont des ennuis .
they're in trouble .	elles ont des ennuis .
they're in trouble .	ils sont dans la mouise .
they're in trouble .	elles sont dans la mouise .
they're just words .	ce ne sont que des mots .
they're my friends .	ils sont mes amis .
they're not coming .	ils ne viennent pas .
they're not coming .	elles ne viennent pas .
they're very smart .	ils sont très intelligents .
they're very smart .	elles sont très intelligentes .
we are australians .	nous sommes australiens .
we are australians .	nous sommes australiennes .
we are defenseless .	nous sommes sans défenses .
we remained silent .	nous sommes restés silencieux .
we remained silent .	nous sommes restées silencieuses .
we're all infected .	nous sommes tous infectés .
we're all infected .	nous sommes toutes infectées .
we're all students .	nous sommes tous étudiants .
we're all students .	nous sommes toutes étudiantes .
we're almost ready .	nous sommes presque prêts .
we're almost ready .	nous sommes presque prêtes .
we're almost there .	encore un petit effort .
we're almost there .	nous y sommes presque .
we're almost there .	nous y sommes bientôt .
we're already late .	nous sommes déjà en retard .
we're always right .	nous avons toujours raison .
we're best friends .	nous sommes les meilleurs amis .
we're both writers .	nous sommes tous deux écrivains .
we're close enough .	nous sommes suffisamment proches .
we're conservative .	nous sommes conservateurs .
we're contributing .	nous contribuons .
we're disappointed .	nous sommes déçues .
we're done talking .	notre entretien est terminé .
we're done talking .	nous avons fini de parler .
we're going inside .	nous sommes en train d'y pénétrer .
we're halfway home .	nous sommes à mi-chemin de chez nous .
we're honeymooning .	nous sommes en lune de miel .
we're housesitting .	nous gardons la maison .
we're just nervous .	nous sommes simplement nerveux .
we're just nervous .	nous sommes simplement nerveuses .
we're just talking .	nous ne faisons que parler .
we're leaving here .	nous partons d'ici .
we're nearly there .	nous y sommes presque .
we're not fighting .	nous ne nous battons pas .
we're not finished .	nous n'en avons pas fini .
we're not involved .	nous ne sommes pas impliqués .
we're not involved .	nous ne sommes pas impliquées .
we're not partners .	nous ne sommes pas partenaires .
we're not soldiers .	nous ne sommes pas soldats .
we're not speaking .	nous ne sommes pas en train de parler .
we're not watching .	nous ne regardons pas .
we're only friends .	nous ne sommes que des amis .
we're overreacting .	nous sur-réagissons .
we're pretty tight .	notre horaire est assez serré .
we're pulling back .	nous nous retirons .
we're really angry .	nous sommes vraiment en colère .
we're really drunk .	nous sommes vraiment saouls .
we're really drunk .	nous sommes vraiment saoules .
we're really lucky .	nous avons vraiment de la chance .
we're running away .	nous nous enfuyons .
we're running late .	nous prenons du retard .
we're slowing down .	nous sommes en train de ralentir .
we're studying now .	nous sommes actuellement en train d'étudier .
we're turning back .	nous retournons en arrière .
we're under attack .	nous sommes attaqués .
we're under attack .	nous sommes attaquées .
we're unprejudiced .	nous sommes dépourvus de préjugés .
we're unprejudiced .	nous sommes dépourvues de préjugés .
we're very excited .	nous sommes très excités .
we're very excited .	nous sommes très excitées .
we're very serious .	nous sommes très sérieux .
we're very serious .	nous sommes très sérieuses .
we're volunteering .	nous faisons du bénévolat .
we're volunteering .	nous nous portons volontaires .
you are impossible .	vous êtes insupportable .
you are overworked .	tu es surmené .
you aren't invited .	tu n'es pas invité .
you aren't invited .	tu n'es pas invitée .
you aren't invited .	vous n'êtes pas invitée .
you aren't invited .	vous n'êtes pas invité .
you aren't invited .	vous n'êtes pas invitées .
you aren't invited .	vous n'êtes pas invités .
you aren't looking .	tu ne regardes pas .
you aren't looking .	vous ne regardez pas .
you're about right .	tu as presque raison .
you're all cowards .	vous êtes tous des lâches .
you're all invited .	vous êtes tous invités .
you're all invited .	vous êtes toutes invitées .
you're all racists .	vous êtes tous des racistes .
you're all racists .	vous êtes toutes des racistes .
you're annoying me .	tu m'énerves .
you're avoiding me .	tu m'évites .
you're avoiding me .	vous m'évitez .
you're being silly .	tu es idiot .
you're being silly .	vous êtes idiot .
you're being silly .	vous êtes idiote .
you're being silly .	tu es idiote .
you're considerate .	vous êtes prévenant .
you're considerate .	tu es prévenant .
you're considerate .	tu es prévenante .
you're cooperating .	vous coopérez .
you're extroverted .	tu es extraverti .
you're extroverted .	tu es extravertie .
you're extroverted .	vous êtes extraverti .
you're extroverted .	vous êtes extravertis .
you're extroverted .	vous êtes extravertie .
you're extroverted .	vous êtes extraverties .
you're fascinating .	vous êtes fascinante .
you're fascinating .	vous êtes fascinantes .
you're fascinating .	vous êtes fascinant .
you're fascinating .	vous êtes fascinants .
you're fascinating .	tu es fascinante .
you're fascinating .	tu es fascinant .
you're fashionable .	tu es branché .
you're fashionable .	tu es branchée .
you're fashionable .	vous êtes branché .
you're fashionable .	vous êtes branchés .
you're fashionable .	vous êtes branchée .
you're fashionable .	vous êtes branchées .
you're hurting him .	vous lui faites mal .
you're hurting him .	tu lui fais mal .
you're influential .	vous êtes influent .
you're my princess .	vous êtes ma princesse .
you're not bruised .	tu n'es pas contusionné .
you're not bruised .	tu n'es pas contusionnée .
you're not bruised .	vous n'êtes pas contusionné .
you're not bruised .	vous n'êtes pas contusionnée .
you're not bruised .	vous n'êtes pas contusionnés .
you're not bruised .	vous n'êtes pas contusionnées .
you're not dressed .	vous n'êtes pas habillé .
you're not dressed .	vous n'êtes pas habillée .
you're not dressed .	vous n'êtes pas habillés .
you're not dressed .	vous n'êtes pas habillées .
you're not dressed .	tu n'es pas habillé .
you're not dressed .	tu n'es pas habillée .
you're not helping .	tu n'aides pas .
you're not helping .	vous n'aidez pas .
you're not special .	tu n'es pas spécial .
you're pretty good .	t'es assez bon .
you're pretty good .	t'es assez bonne .
you're pretty good .	vous êtes plutôt bon .
you're pretty good .	vous êtes plutôt bonne .
you're pretty good .	vous êtes plutôt bons .
you're pretty good .	vous êtes assez bonnes .
you're quite smart .	tu es fort maline .
you're replaceable .	on peut te remplacer .
you're replaceable .	tu n'es pas indispensable .
you're resourceful .	tu es plein de ressources .
you're resourceful .	tu es pleine de ressources .
you're resourceful .	vous êtes plein de ressources .
you're resourceful .	vous êtes pleins de ressources .
you're resourceful .	vous êtes pleine de ressources .
you're so paranoid .	tu es tellement paranoïaque !
you're so paranoid .	vous êtes tellement paranoïaque !
you're so pathetic .	tu es si pitoyable .
you're so pathetic .	vous êtes si pathétique .
you're so talented .	vous avez tellement de talent !
you're so talented .	tu as tellement de talent !
you're still alive .	vous êtes toujours vivant .
you're still alive .	vous êtes toujours vivants .
you're still alive .	tu es toujours vivant .
you're still alive .	tu es toujours vivante .
you're still alive .	vous êtes toujours vivante .
you're still alive .	vous êtes toujours vivantes .
you're still green .	tu es encore jeune .
you're still green .	vous êtes encore inexpérimenté .
you're still green .	tu es encore un bleu .
you're still young .	tu es encore jeune .
you're still young .	vous êtes encore jeune .
you're still young .	vous êtes encore jeunes .
you're the teacher .	vous êtes l'enseignant .
you're the teacher .	vous êtes l'enseignante .
you're the teacher .	vous êtes l'instituteur .
you're the teacher .	vous êtes l'institutrice .
you're the teacher .	vous êtes le professeur .
you're the teacher .	vous êtes la professeur .
you're the teacher .	tu es le professeur .
you're the teacher .	tu es la professeur .
you're the teacher .	tu es l'institutrice .
you're the teacher .	tu es l'instituteur .
you're the teacher .	tu es l'enseignante .
you're the teacher .	tu es l'enseignant .
you're the teacher .	c'est vous l'enseignante .
you're the teacher .	c'est vous l'enseignant .
you're the teacher .	c'est vous le professeur .
you're the teacher .	c'est vous la professeur .
you're the teacher .	c'est vous l'instituteur .
you're the teacher .	c'est vous l'institutrice .
you're the teacher .	c'est toi l'instituteur .
you're the teacher .	c'est toi l'institutrice .
you're the teacher .	c'est toi le professeur .
you're the teacher .	c'est toi la professeur .
you're the teacher .	c'est toi le prof .
you're the teacher .	c'est toi la prof .
you're the teacher .	c'est toi l'enseignant .
you're the teacher .	c'est toi l'enseignante .
you're touching me .	tu me touches .
you're touching me .	vous me touchez .
you're trustworthy .	tu es fiable .
you're trustworthy .	vous êtes fiable .
you're trustworthy .	vous êtes fiables .
you're turning red .	tu deviens rouge .
you're turning red .	vous devenez rouge .
you're unambitious .	tu es dépourvu d'ambition .
you're unambitious .	tu es dépourvue d'ambition .
you're unambitious .	vous êtes dépourvu d'ambition .
you're unambitious .	vous êtes dépourvue d'ambition .
you're unambitious .	vous êtes dépourvus d'ambition .
you're unambitious .	vous êtes dépourvues d'ambition .
you're very astute .	tu es fort astucieux .
you're very astute .	tu es fort astucieuse .
you're very astute .	tu es très astucieux .
you're very astute .	tu es très astucieuse .
you're very astute .	vous êtes très astucieux .
you're very astute .	vous êtes très astucieuse .
you're very astute .	vous êtes très astucieuses .
you're very astute .	vous êtes fort astucieux .
you're very astute .	vous êtes fort astucieuse .
you're very astute .	vous êtes fort astucieuses .
you're very clever .	tu es très ingénieux .
you're very clever .	tu es très ingénieuse .
you're very clever .	tu es très habile .
you're very clever .	tu es fort habile .
you're very clever .	vous êtes très habile .
you're very clever .	vous êtes très habiles .
you're very clever .	vous êtes fort habile .
you're very clever .	vous êtes fort habiles .
you're very clever .	vous êtes fort ingénieux .
you're very clever .	vous êtes très ingénieux .
you're very clever .	vous êtes fort ingénieuse .
you're very clever .	vous êtes fort ingénieuses .
you're very clever .	vous êtes très ingénieuse .
you're very clever .	vous êtes très ingénieuses .
you're very clever .	tu es fort ingénieux .
you're very clever .	tu es fort ingénieuse .
you're very direct .	tu es très direct .
you're very direct .	tu es très directe .
you're very direct .	vous êtes très direct .
you're very direct .	vous êtes très directe .
you're very direct .	vous êtes très directes .
you're very lonely .	tu es très solitaire .
you're very lonely .	tu es fort solitaire .
you're very lonely .	vous êtes très solitaire .
you're very lonely .	vous êtes très solitaires .
you're very lonely .	vous êtes fort solitaire .
you're very lonely .	vous êtes fort solitaires .
you're very pretty .	tu es très jolie .
you're wrong again .	tu as à nouveau tort .
you're wrong again .	vous avez à nouveau tort .
he started swearing .	il s'est mis à jurer .
he stopped drinking .	il a cessé de boire .
he stopped drinking .	il cessa de boire .
he stopped drinking .	il a arrêté de boire .
he stopped drinking .	il arrêta de boire .
i'm a perfectionist .	je suis perfectionniste .
i'm absolutely sure !	j’en suis sûre et certaine !
i'm already married .	je suis déjà marié .
i'm already married .	je suis déjà mariée .
i'm behind schedule .	je suis en retard .
